tournament_category_id,tournament_category_code,category_code,description
1_1,2019_avokádo,ZB2,Žena B 2
1_2,2019_meruňka,ZA,Žena A 2
1_3,2019_mango,MB,Muž B
1_4,2019_jahoda,ZA1,Žena A 1
1_5,2019_mandarinka,MA,Muž A
1_6,2019_pomeranč,ZB,Žena B 1
1_7,2019_citrón,MD,Muž D
1_8,2019_dýně,MC,Muž C
1_9,2019_borůvka,MB,Muž B
