Tabulka,Tým 1,Tým 2,Tým 3,Tým 4,Tým 5,Body,Míče,Pořadí
Tým 1,-,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>18:25</i><br><i>23:25</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>19:25</i><br><i>25:27</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:17</i><br><i>28:26</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>16:25</i><br><i>17:25</i>,3,171:195,2.
Tým 2,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:18</i><br><i>25:23</i>,-,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>26:24</i><br><i>13:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:21</i><br><i>20:25</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:23</i><br><i>25:20</i>,8,184:179,1.
Tým 3,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:19</i><br><i>27:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>24:26</i><br><i>25:13</i>,-,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:20</i><br><i>25:20</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:15</i><br><i>25:16</i>,11,201:154,4.
Tým 4,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>17:25</i><br><i>28:26</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>21:25</i><br><i>25:20</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>20:25</i><br><i>20:25</i>,-,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:18</i><br><i>25:23</i>,5,181:187,3.
Tým 5,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:16</i><br><i>25:17</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>23:25</i><br><i>20:25</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>15:25</i><br><i>16:25</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>18:25</i><br><i>23:25</i>,-,3,165:183,3.
