set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
2_1_1,2020_1_1,2020_1,5,5,18,25
2_1_2,2020_1_2,2020_1,5,5,23,25
2_2_1,2020_2_1,2020_2,5,5,11,25
2_2_2,2020_2_2,2020_2,5,5,25,27
2_3_1,2020_3_1,2020_3,5,5,25,17
2_3_2,2020_3_2,2020_3,5,5,28,26
2_4_1,2020_4_1,2020_4,5,5,16,25
2_4_2,2020_4_2,2020_4,5,5,17,25
2_5_1,2020_5_1,2020_5,5,5,26,24
2_5_2,2020_5_2,2020_5,5,5,13,25
2_6_1,2020_6_1,2020_6,5,5,25,21
2_6_2,2020_6_2,2020_6,5,5,20,25
2_7_1,2020_7_1,2020_7,5,5,,
2_7_2,2020_7_2,2020_7,5,5,,
2_8_1,2020_8_1,2020_8,5,5,25,20
2_8_2,2020_8_2,2020_8,5,5,25,20
2_9_1,2020_9_1,2020_9,5,5,25,15
2_9_2,2020_9_2,2020_9,5,5,25,16
2_10_1,2020_10_1,2020_10,5,5,25,18
2_10_2,2020_10_2,2020_10,5,5,25,23
2_11_1,2020_11_1,2020_11,5,5,25,17
2_11_2,2020_11_2,2020_11,5,5,25,17

