tournament_category_id,tournament_category_code,category_code,description
2_1,2020_okurka,MC,Muž C
2_2,2020_brambora,ZA,Žena A
2_3,2020_paprika,ZB,Žena B
2_4,2020_rajče,MD,Muž D
2_5,2020_květák,MB,Muž B
2_6,2020_brokolice,MA,Muž A
