tournament_category_id,tournament_category_code,category_code,description
6_1,2022-profi_alfa,MA1,Muž A
6_2,2022-profi_beta,MB1,Muž B
6_3,2022-profi_gamma,MC1,Muž C
6_4,2022-profi_delta,MD1,Muž D
6_5,2022-profi_epsilon,ZA1,Žena A
6_6,2022-profi_zeta,ZB1,Žena B
