set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
3_1_1,2021-profi_1_1,2021-profi_1,7,7,25,23
3_1_2,2021-profi_1_2,2021-profi_1,7,7,18,25
3_2_1,2021-profi_2_1,2021-profi_2,7,7,22,25
3_2_2,2021-profi_2_2,2021-profi_2,7,7,25,23
3_3_1,2021-profi_3_1,2021-profi_3,7,7,25,23
3_3_2,2021-profi_3_2,2021-profi_3,7,7,25,22
3_4_1,2021-profi_4_1,2021-profi_4,7,7,25,22
3_4_2,2021-profi_4_2,2021-profi_4,7,7,25,23
3_5_1,2021-profi_5_1,2021-profi_5,7,7,25,13
3_5_2,2021-profi_5_2,2021-profi_5,7,7,25,23
3_6_1,2021-profi_6_1,2021-profi_6,7,7,26,24
3_6_2,2021-profi_6_2,2021-profi_6,7,7,25,12
3_7_1,2021-profi_7_1,2021-profi_7,7,7,25,16
3_7_2,2021-profi_7_2,2021-profi_7,7,7,25,23
3_8_1,2021-profi_8_1,2021-profi_8,7,7,25,19
3_8_2,2021-profi_8_2,2021-profi_8,7,7,25,21
3_9_1,2021-profi_9_1,2021-profi_9,7,7,25,22
3_9_2,2021-profi_9_2,2021-profi_9,7,7,25,16
3_10_1,2021-profi_10_1,2021-profi_10,7,7,18,25
3_10_2,2021-profi_10_2,2021-profi_10,7,7,25,22
3_11_1,2021-profi_11_1,2021-profi_11,7,7,25,22
3_11_2,2021-profi_11_2,2021-profi_11,7,7,25,18
3_12_1,2021-profi_12_1,2021-profi_12,7,7,23,25
3_12_2,2021-profi_12_2,2021-profi_12,7,7,25,23
