tournament_category_id,tournament_category_code,category_code,description
3_1,2021-profi_alpha,MA1,Muž A
3_2,2021-profi_beta,MB1,Muž B
3_3,2021-profi_gamma,MC1,Muž C
3_4,2021-profi_delta,MD1,Muž D
3_5,2021-profi_epsilon,ZA1,Žena A
3_6,2021-profi_zeta,ZB1,Žena B
