set_tournament_id,set_tournament_code,match_tournament_code,score_start_1,score_start_2,score_end_1,score_end_2
4_1_1,2021-hobby_1_1,2021-hobby_1,5,5,25,22
4_1_2,2021-hobby_1_2,2021-hobby_1,5,5,25,18
4_2_1,2021-hobby_2_1,2021-hobby_2,5,5,26,24
4_2_2,2021-hobby_2_2,2021-hobby_2,5,5,25,15
4_3_1,2021-hobby_3_1,2021-hobby_3,5,5,23,25
4_3_2,2021-hobby_3_2,2021-hobby_3,5,5,15,25
4_4_1,2021-hobby_4_1,2021-hobby_4,5,5,25,21
4_4_2,2021-hobby_4_2,2021-hobby_4,5,5,22,25
4_5_1,2021-hobby_5_1,2021-hobby_5,5,5,21,25
4_5_2,2021-hobby_5_2,2021-hobby_5,5,5,23,25
4_6_1,2021-hobby_6_1,2021-hobby_6,5,5,23,25
4_6_2,2021-hobby_6_2,2021-hobby_6,5,5,25,16
4_7_1,2021-hobby_7_1,2021-hobby_7,5,5,25,18
4_7_2,2021-hobby_7_2,2021-hobby_7,5,5,20,25
4_8_1,2021-hobby_8_1,2021-hobby_8,5,5,22,25
4_8_2,2021-hobby_8_2,2021-hobby_8,5,5,25,23
4_9_1,2021-hobby_9_1,2021-hobby_9,5,5,25,15
4_9_2,2021-hobby_9_2,2021-hobby_9,5,5,25,20
4_10_1,2021-hobby_10_1,2021-hobby_10,5,5,25,18
4_10_2,2021-hobby_10_2,2021-hobby_10,5,5,25,23
4_11_1,2021-hobby_11_1,2021-hobby_11,0,0,15,9
4_11_2,2021-hobby_11_2,2021-hobby_11,0,0,15,11
4_12_1,2021-hobby_12_1,2021-hobby_12,0,0,25,21
4_12_2,2021-hobby_12_2,2021-hobby_12,0,0,21,25
4_12_3,2021-hobby_12_3,2021-hobby_12,0,0,15,10
