tournament_category_id,tournament_category_code,category_code,description
4_1,Lochneska,MA1,Muž A1
4_2,Albatros,MA2,Muž A2
4_3,Dodo,MB1,Muž B1
4_4,Sfinga,MB2,Muž B2
4_5,Tyranosaurus,MC,Muž C
4_6,Jednorožec,MD,Muž D
4_7,Fénix,ZA,Žena A
4_8,Pegas,ZB,Žena B
