Tabulka,Argentina,Brazílie,Francie,Itálie,Rusko,Body,Míče,Pořadí
Argentina,-,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:23</i><br><i>25:18</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>23:25</i><br><i>25:16</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:15</i><br><i>25:20</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:23</i><br><i>25:15</i>,7,198:155,1.
Brazílie,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>22:25</i><br><i>18:25</i>,-,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:21</i><br><i>22:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:18</i><br><i>20:25</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:18</i><br><i>25:23</i>,4,182:180,3.
Francie,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:23</i><br><i>16:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>21:25</i><br><i>25:22</i>,-,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>26:24</i><br><i>25:15</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:22</i><br><i>23:25</i>,5,186:181,2.
Itálie,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>15:25</i><br><i>20:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>18:25</i><br><i>25:20</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>24:26</i><br><i>15:25</i>,-,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>21:25</i><br><i>23:25</i>,1,161:196,5.
Rusko,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>23:25</i><br><i>15:25</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>18:25</i><br><i>23:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>22:25</i><br><i>25:23</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:21</i><br><i>25:23</i>,-,3,176:192,4.
