Dopolední turnaj,A,B,C,D,Body,Míče,Pořadí
A,-,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>22:25</i><br><i>19:25</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:14</i><br><i>25:17</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:21</i><br><i>22:25</i>,3,138:127,2.
B,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:22</i><br><i>25:19</i>,-,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>21:25</i><br><i>25:20</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:19</i><br><i>25:23</i>,5,146:128,1.
C,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>14:25</i><br><i>17:25</i>,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>25:21</i><br><i>20:25</i>,-,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>23:25</i><br><i>24:26</i>,1,123:147,4.
D,<b><span style='font-size: 1.1em;'>1:1</span></b><br><i>21:25</i><br><i>25:22</i>,<b><span style='font-size: 1.1em;'>0:2</span></b><br><i>19:25</i><br><i>23:25</i>,<b><span style='font-size: 1.1em;'>2:0</span></b><br><i>25:23</i><br><i>26:24</i>,-,3,139:144,3.
